"image_name","point_in_image","time_s","DO_mg_L","Cstar_mg_L","Cstar_minus_CL","ln_Cstar_minus_CL","used_for_fit"
"1.jpg","1","0","0.08","5.978","5.898","1.774613","no"
"1.jpg","2","15","0.27","5.978","5.708","1.741869","no"
"1.jpg","3","30","0.3","5.978","5.678","1.736599","no"
"1.jpg","4","45","0.36","5.978","5.618","1.725976","no"
"1.jpg","5","60","0.46","5.978","5.518","1.708015","no"
"1.jpg","6","75","0.56","5.978","5.418","1.689727","no"
"1.jpg","7","90","0.67","5.978","5.308","1.669215","yes"
"1.jpg","8","105","0.77","5.978","5.208","1.650196","yes"
"1.jpg","9","120","0.88","5.978","5.098","1.628848","yes"
"1.jpg","10","135","0.99","5.978","4.988","1.607035","yes"
"1.jpg","11","150","1.09","5.978","4.888","1.586783","yes"
"1.jpg","12","165","1.2","5.978","4.778","1.564022","yes"
"1.jpg","13","180","1.3","5.978","4.678","1.542871","yes"
"1.jpg","14","195","1.39","5.978","4.588","1.523444","yes"
"1.jpg","15","210","1.47","5.978","4.508","1.505854","yes"
"1.jpg","16","225","1.58","5.978","4.398","1.48115","yes"
"1.jpg","17","240","1.69","5.978","4.288","1.45582","yes"
"1.jpg","18","255","1.81","5.978","4.168","1.427436","yes"
"1.jpg","19","270","1.85","5.978","4.128","1.417793","yes"
"1.jpg","20","285","1.97","5.978","4.008","1.388292","yes"
"1.jpg","21","300","2.14","5.978","3.838","1.344951","yes"
"1.jpg","22","315","2.14","5.978","3.838","1.344951","yes"
"1.jpg","23","330","2.19","5.978","3.788","1.331838","yes"
"1.jpg","24","345","2.31","5.978","3.668","1.299647","yes"
"1.jpg","25","360","2.39","5.978","3.588","1.277595","yes"
"2.jpg","1","375","2.47","5.978","3.508","1.255046","yes"
"2.jpg","2","390","2.53","5.978","3.448","1.237794","yes"
"2.jpg","3","405","2.62","5.978","3.358","1.211346","yes"
"2.jpg","4","420","2.7","5.978","3.278","1.187233","yes"
"2.jpg","5","435","2.75","5.978","3.228","1.171863","yes"
"2.jpg","6","450","2.82","5.978","3.158","1.149939","yes"
"2.jpg","7","465","2.93","5.978","3.048","1.114486","yes"
"2.jpg","8","480","2.98","5.978","2.998","1.097945","yes"
"2.jpg","9","495","3.09","5.978","2.888","1.060564","yes"
"2.jpg","10","510","3.12","5.978","2.858","1.050122","yes"
"2.jpg","11","525","3.24","5.978","2.738","1.007228","yes"
"2.jpg","12","540","3.27","5.978","2.708","0.99621","yes"
"2.jpg","13","555","3.27","5.978","2.708","0.99621","yes"
"2.jpg","14","570","3.31","5.978","2.668","0.981329","yes"
"2.jpg","15","585","3.5","5.978","2.478","0.907452","yes"
"2.jpg","16","600","3.55","5.978","2.428","0.887068","yes"
"2.jpg","17","615","3.58","5.978","2.398","0.874635","yes"
"2.jpg","18","630","3.64","5.978","2.338","0.849296","yes"
"2.jpg","19","645","3.75","5.978","2.228","0.801104","yes"
"2.jpg","20","660","3.77","5.978","2.208","0.792087","yes"
"2.jpg","21","675","3.81","5.978","2.168","0.773805","yes"
"2.jpg","22","690","3.88","5.978","2.098","0.740985","yes"
"2.jpg","23","705","3.92","5.978","2.058","0.721735","yes"
"2.jpg","24","720","3.89","5.978","2.088","0.736207","yes"
"2.jpg","25","735","4.02","5.978","1.958","0.671924","yes"
"3.jpg","1","750","4.05","5.978","1.928","0.656483","yes"
"3.jpg","2","765","4.11","5.978","1.868","0.624868","yes"
"3.jpg","3","780","4.07","5.978","1.908","0.646056","yes"
"3.jpg","4","795","4.18","5.978","1.798","0.586675","yes"
"3.jpg","5","810","4.2","5.978","1.778","0.575489","yes"
"3.jpg","6","825","4.37","5.978","1.608","0.474991","yes"
"3.jpg","7","840","4.34","5.978","1.638","0.493476","yes"
"3.jpg","8","855","4.37","5.978","1.608","0.474991","yes"
"3.jpg","9","870","4.41","5.978","1.568","0.449801","yes"
"3.jpg","10","885","4.44","5.978","1.538","0.430483","yes"
"3.jpg","11","900","4.49","5.978","1.488","0.397433","yes"
"3.jpg","12","915","4.57","5.978","1.408","0.34217","yes"
"3.jpg","13","930","4.58","5.978","1.398","0.335043","yes"
"3.jpg","14","945","4.58","5.978","1.398","0.335043","yes"
"3.jpg","15","960","4.63","5.978","1.348","0.298622","yes"
"3.jpg","16","975","4.62","5.978","1.358","0.306013","yes"
"3.jpg","17","990","4.68","5.978","1.298","0.260825","yes"
"3.jpg","18","1005","4.75","5.978","1.228","0.205387","yes"
"3.jpg","19","1020","4.68","5.978","1.298","0.260825","yes"
"3.jpg","20","1035","4.72","5.978","1.258","0.229523","yes"
"3.jpg","21","1050","4.8","5.978","1.178","0.163818","no"
"3.jpg","22","1065","4.8","5.978","1.178","0.163818","no"
"3.jpg","23","1080","4.89","5.978","1.088","0.084341","no"
"3.jpg","24","1095","4.8","5.978","1.178","0.163818","no"
"4.jpg","1","1110","4.87","5.978","1.108","0.102557","no"
"4.jpg","2","1125","4.85","5.978","1.128","0.120446","no"
"4.jpg","3","1140","5.01","5.978","0.968","-0.032523","no"
"4.jpg","4","1155","5.06","5.978","0.918","-0.085558","no"
"4.jpg","5","1170","5.09","5.978","0.888","-0.118784","no"
"4.jpg","6","1185","5.12","5.978","0.858","-0.153151","no"
"4.jpg","7","1200","5.09","5.978","0.888","-0.118784","no"
"4.jpg","8","1215","5.08","5.978","0.898","-0.107585","no"
"4.jpg","9","1230","5.11","5.978","0.868","-0.141564","no"
"4.jpg","10","1245","5.11","5.978","0.868","-0.141564","no"
"4.jpg","11","1260","5.23","5.978","0.748","-0.290352","no"
"4.jpg","12","1275","5.33","5.978","0.648","-0.433865","no"
"4.jpg","13","1290","5.27","5.978","0.708","-0.345311","no"
"4.jpg","14","1305","5.28","5.978","0.698","-0.359536","no"
"4.jpg","15","1320","5.3","5.978","0.678","-0.388608","no"
"4.jpg","16","1335","5.03","5.978","0.948","-0.053401","no"
"4.jpg","17","1350","5.35","5.978","0.628","-0.465215","no"
"4.jpg","18","1365","5.4","5.978","0.578","-0.548181","no"
"4.jpg","19","1380","5.43","5.978","0.548","-0.60148","no"
"4.jpg","20","1395","5.32","5.978","0.658","-0.41855","no"
"4.jpg","21","1410","5.34","5.978","0.638","-0.449417","no"
"4.jpg","22","1425","5.36","5.978","0.618","-0.481267","no"
"4.jpg","23","1440","5.43","5.978","0.548","-0.60148","no"
"4.jpg","24","1455","5.38","5.978","0.598","-0.514165","no"
"4.jpg","25","1470","5.49","5.978","0.488","-0.71744","no"
"5.jpg","1","1485","5.41","5.978","0.568","-0.565634","no"
"5.jpg","2","1500","5.52","5.978","0.458","-0.780886","no"
"5.jpg","3","1515","5.47","5.978","0.508","-0.677274","no"
"5.jpg","4","1530","5.48","5.978","0.498","-0.697155","no"
"5.jpg","5","1545","5.5","5.978","0.478","-0.738145","no"
"5.jpg","6","1560","5.57","5.978","0.408","-0.896488","no"
"5.jpg","7","1575","5.64","5.978","0.338","-1.084709","no"
"5.jpg","8","1590","5.64","5.978","0.338","-1.084709","no"
"5.jpg","9","1605","5.61","5.978","0.368","-0.999672","no"
"5.jpg","10","1620","5.68","5.978","0.298","-1.210662","no"
"5.jpg","11","1635","5.64","5.978","0.338","-1.084709","no"
"5.jpg","12","1650","5.62","5.978","0.358","-1.027222","no"
"5.jpg","13","1665","5.5","5.978","0.478","-0.738145","no"
"5.jpg","14","1680","5.6","5.978","0.378","-0.972861","no"
"5.jpg","15","1695","5.67","5.978","0.308","-1.177655","no"
"5.jpg","16","1710","5.77","5.978","0.208","-1.570217","no"
"5.jpg","17","1725","5.68","5.978","0.298","-1.210662","no"
"5.jpg","18","1740","5.71","5.978","0.268","-1.316768","no"
"5.jpg","19","1755","5.64","5.978","0.338","-1.084709","no"
"5.jpg","20","1770","5.74","5.978","0.238","-1.435485","no"
"5.jpg","21","1785","5.66","5.978","0.318","-1.145704","no"
"5.jpg","22","1800","5.63","5.978","0.348","-1.055553","no"
"5.jpg","23","1815","5.71","5.978","0.268","-1.316768","no"
"5.jpg","24","1830","5.74","5.978","0.238","-1.435485","no"
"5.jpg","25","1845","5.82","5.978","0.158","-1.84516","no"
"6.jpg","1","1860","5.76","5.978","0.218","-1.52326","no"
"6.jpg","2","1875","5.83","5.978","0.148","-1.910543","no"
"6.jpg","3","1890","5.79","5.978","0.188","-1.671313","no"
"6.jpg","4","1905","5.81","5.978","0.168","-1.783791","no"
"6.jpg","5","1920","5.81","5.978","0.168","-1.783791","no"
"6.jpg","6","1935","5.78","5.978","0.198","-1.619488","no"
"6.jpg","7","1950","5.8","5.978","0.178","-1.725972","no"
"6.jpg","8","1965","5.78","5.978","0.198","-1.619488","no"
"6.jpg","9","1980","5.84","5.978","0.138","-1.980502","no"
"6.jpg","10","1995","5.86","5.978","0.118","-2.137071","no"
"6.jpg","11","2010","5.92","5.978","0.058","-2.847312","no"
"6.jpg","12","2025","5.8","5.978","0.178","-1.725972","no"
"6.jpg","13","2040","5.8","5.978","0.178","-1.725972","no"
"6.jpg","14","2055","5.84","5.978","0.138","-1.980502","no"
"6.jpg","15","2070","5.83","5.978","0.148","-1.910543","no"
"6.jpg","16","2085","5.86","5.978","0.118","-2.137071","no"
"6.jpg","17","2100","5.75","5.978","0.228","-1.47841","no"
"6.jpg","18","2115","5.9","5.978","0.078","-2.551046","no"
"6.jpg","19","2130","5.89","5.978","0.088","-2.430418","no"
"6.jpg","20","2145","5.88","5.978","0.098","-2.322788","no"
