epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.98513,1.84794,6.37353,0.97902,0,0,0,0,1.5343,5.19524,0.9869,2e-05,2e-05,2e-05
2,10.2826,2.32081,5.29943,1.29296,0,0,0,0,1.54457,5.13727,0.97507,5.9802e-05,5.9802e-05,5.9802e-05
3,13.9992,1.79396,5.95431,1.02579,0.00037,0.04545,0.0002,0.00016,1.72942,4.96857,0.98881,9.934e-05,9.934e-05,9.934e-05
4,17.5645,2.72553,4.6788,1.12069,0.00259,0.31818,0.00221,0.00109,1.72148,4.76148,0.9941,0.000138614,0.000138614,0.000138614
5,20.974,1.81876,4.11324,0.8767,0.00259,0.31818,0.00301,0.00146,1.74454,4.70885,0.98199,0.000177624,0.000177624,0.000177624
6,24.2942,1.96634,4.86859,0.98779,0.00296,0.36364,0.00352,0.00169,1.8039,4.70962,0.97895,0.00021637,0.00021637,0.00021637
7,27.3634,2.01663,4.06926,0.85404,0.00333,0.40909,0.00469,0.00176,1.84619,4.71801,0.97977,0.000254852,0.000254852,0.000254852
8,30.3332,2.27998,5.48474,0.91879,0.00407,0.5,0.00656,0.00215,1.76818,4.72489,0.95834,0.00029307,0.00029307,0.00029307
9,33.2515,2.00451,2.48395,0.90096,0.00481,0.59091,0.00874,0.00322,1.71497,4.68746,0.93594,0.000331024,0.000331024,0.000331024
10,36.6721,1.97565,2.34184,1.02963,0.00481,0.59091,0.00875,0.00326,1.64026,4.55941,0.91468,0.000368714,0.000368714,0.000368714
11,39.7988,1.80009,2.41912,0.99334,0.00519,0.63636,0.00967,0.00335,1.55729,4.45952,0.90099,0.00040614,0.00040614,0.00040614
12,43.238,1.54544,3.11963,0.93664,0.00519,0.63636,0.00967,0.00335,1.55729,4.45952,0.90099,0.000443302,0.000443302,0.000443302
13,46.8694,2.74071,6.01262,1.03356,0.00519,0.63636,0.00948,0.00342,1.49075,4.39441,0.89098,0.0004802,0.0004802,0.0004802
14,50.5239,2.63483,3.55674,0.83323,0.00519,0.63636,0.00896,0.00278,1.41806,4.38837,0.88199,0.000516834,0.000516834,0.000516834
15,53.9739,1.52998,2.57135,0.89717,0.00519,0.63636,0.00896,0.00278,1.41806,4.38837,0.88199,0.000553204,0.000553204,0.000553204
16,57.9539,1.55544,2.58723,0.92325,0.00481,0.59091,0.0074,0.00221,1.43911,4.45568,0.88726,0.00058931,0.00058931,0.00058931
17,62.4674,1.055,2.97793,0.82734,0.00481,0.59091,0.00733,0.00233,1.64368,4.51359,0.90681,0.000625152,0.000625152,0.000625152
18,65.5328,1.73885,3.07684,0.93083,0.00481,0.59091,0.00733,0.00233,1.64368,4.51359,0.90681,0.00066073,0.00066073,0.00066073
19,68.5899,1.57629,4.45535,0.82732,0.00519,0.63636,0.00806,0.0025,1.57659,4.33705,0.89126,0.000696044,0.000696044,0.000696044
20,71.3252,1.50973,5.06815,0.80591,0.00519,0.63636,0.00806,0.0025,1.57659,4.33705,0.89126,0.000731094,0.000731094,0.000731094
21,74.1553,2.06397,3.11902,0.94792,0.00444,0.54545,0.00658,0.00276,1.45619,4.22169,0.89148,0.00076588,0.00076588,0.00076588
22,77.0032,1.59628,1.7171,0.91719,0.00444,0.54545,0.00658,0.00276,1.45619,4.22169,0.89148,0.000800402,0.000800402,0.000800402
23,79.7998,1.38876,2.23018,0.87792,0.00481,0.59091,0.00654,0.0037,1.50113,4.13172,0.89685,0.00083466,0.00083466,0.00083466
24,82.5023,2.50976,5.37307,0.83913,0.00481,0.59091,0.00654,0.0037,1.50113,4.13172,0.89685,0.000868654,0.000868654,0.000868654
25,85.5701,1.0442,4.43907,0.47727,0.00519,0.63636,0.00817,0.00496,1.59979,4.03896,0.92149,0.000902384,0.000902384,0.000902384
26,88.5147,0.96275,4.66832,0.44647,0.00519,0.63636,0.00817,0.00496,1.59979,4.03896,0.92149,0.00093585,0.00093585,0.00093585
27,91.4782,1.63806,2.78645,0.84239,0.00519,0.63636,0.00817,0.00496,1.59979,4.03896,0.92149,0.000969052,0.000969052,0.000969052
28,94.6825,1.59176,3.15216,0.87191,0.00556,0.68182,0.10175,0.06008,1.69045,4.04508,0.93361,0.00100199,0.00100199,0.00100199
29,97.5098,0.80453,4.56235,0.42408,0.00556,0.68182,0.10175,0.06008,1.69045,4.04508,0.93361,0.00103466,0.00103466,0.00103466
30,100.407,0.83875,4.37374,0.46461,0.00593,0.72727,0.10859,0.07144,1.54188,3.90293,0.92098,0.00106707,0.00106707,0.00106707
31,103.252,1.18426,2.1035,0.91379,0.00593,0.72727,0.10859,0.07144,1.54188,3.90293,0.92098,0.00109922,0.00109922,0.00109922
32,106.187,1.37893,1.8799,0.89427,0.00593,0.72727,0.10859,0.07144,1.54188,3.90293,0.92098,0.0011311,0.0011311,0.0011311
33,109.112,1.83721,2.30681,0.81943,0.00667,0.81818,0.23993,0.12593,1.57472,3.71091,0.92147,0.00116272,0.00116272,0.00116272
34,111.991,1.82494,1.80134,0.87908,0.00667,0.81818,0.23993,0.12593,1.57472,3.71091,0.92147,0.00119407,0.00119407,0.00119407
35,114.683,1.0448,2.28154,0.92321,0.00667,0.81818,0.23993,0.12593,1.57472,3.71091,0.92147,0.00122516,0.00122516,0.00122516
36,117.487,1.52157,1.72736,0.89343,0.00741,0.90909,0.48877,0.2533,1.48774,3.50382,0.90636,0.00125599,0.00125599,0.00125599
37,120.241,2.04141,2.02824,0.92917,0.00741,0.90909,0.48877,0.2533,1.48774,3.50382,0.90636,0.00128655,0.00128655,0.00128655
38,122.96,1.24183,2.0093,0.91473,0.00741,0.90909,0.48877,0.2533,1.48774,3.50382,0.90636,0.00131685,0.00131685,0.00131685
39,125.689,1.47239,1.5443,0.92466,0.00872,0.95455,0.597,0.35285,1.39943,3.21723,0.90747,0.00134688,0.00134688,0.00134688
40,128.416,1.1056,1.70164,0.81649,0.00872,0.95455,0.597,0.35285,1.39943,3.21723,0.90747,0.00137665,0.00137665,0.00137665
41,131.187,1.62554,2.12004,0.96238,0.00872,0.95455,0.597,0.35285,1.39943,3.21723,0.90747,0.00140616,0.00140616,0.00140616
42,133.967,2.05853,2.42911,0.81182,0.81919,0.68182,0.7403,0.29801,1.88046,3.1029,0.94962,0.0014354,0.0014354,0.0014354
43,136.651,1.55702,2.18994,0.88946,0.81919,0.68182,0.7403,0.29801,1.88046,3.1029,0.94962,0.00146438,0.00146438,0.00146438
44,139.441,1.7031,1.79019,0.93477,0.81919,0.68182,0.7403,0.29801,1.88046,3.1029,0.94962,0.00149309,0.00149309,0.00149309
45,142.251,1.72601,1.95928,0.9429,0.81919,0.68182,0.7403,0.29801,1.88046,3.1029,0.94962,0.00152154,0.00152154,0.00152154
46,144.984,1.45574,2.68228,0.89028,1,0.49225,0.872,0.37064,1.72951,2.86849,0.92906,0.00154973,0.00154973,0.00154973
47,147.758,1.1167,2.02742,0.97309,1,0.49225,0.872,0.37064,1.72951,2.86849,0.92906,0.00157765,0.00157765,0.00157765
48,150.485,1.67833,1.86252,0.88862,1,0.49225,0.872,0.37064,1.72951,2.86849,0.92906,0.00160531,0.00160531,0.00160531
49,153.24,1.55639,1.92417,0.84815,1,0.49225,0.872,0.37064,1.72951,2.86849,0.92906,0.0016327,0.0016327,0.0016327
50,156.08,0.73335,3.52243,0.44083,0.8846,0.69741,0.91451,0.51486,1.35817,2.34625,0.89059,0.00165983,0.00165983,0.00165983
51,158.92,1.4716,2.60813,0.84342,0.8846,0.69741,0.91451,0.51486,1.35817,2.34625,0.89059,0.00167,0.00167,0.00167
52,161.742,1.39081,2.39836,0.95539,0.8846,0.69741,0.91451,0.51486,1.35817,2.34625,0.89059,0.0016634,0.0016634,0.0016634
53,164.955,1.91593,1.38828,0.86526,0.8846,0.69741,0.91451,0.51486,1.35817,2.34625,0.89059,0.0016568,0.0016568,0.0016568
54,167.867,1.91029,1.73205,0.9709,0.84652,0.72727,0.91763,0.45641,1.40585,2.17651,0.88503,0.0016502,0.0016502,0.0016502
