epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,23.2576,1.64778,2.39232,3.15672,0.00236,1.55763,0.46535,0.34272,0.33567,0.16487,0.46535,0.34272,0.32148,0.12399,1.59931,2.40872,2.13304,0.00247,0,0.000331439,0.000331439,0.0671875
2,45.8353,1.46407,1.93246,1.92352,0.00214,0.8672,0.47708,0.40263,0.40584,0.22908,0.49669,0.42626,0.40331,0.21556,1.48797,2.37113,1.71042,0.00233,0,0.000664755,0.000664755,0.0341875
3,68.2042,1.42945,2.07642,1.82325,0.0019,0.92049,0.49791,0.48826,0.48764,0.25917,0.49914,0.48826,0.48259,0.21746,1.58186,2.34513,1.25319,0.00234,0,0.000997998,0.000997998,0.00118739
4,88.2952,1.4939,2.14567,1.68741,0.00204,0.7591,0.49318,0.51643,0.49306,0.27129,0.48367,0.51174,0.48867,0.2389,1.54643,2.25848,1.23907,0.00234,0,0.000999756,0.000999756,0.000999756
5,111.719,1.36872,1.99306,1.56861,0.00191,0.74391,0.57507,0.56338,0.55402,0.31846,0.5657,0.5446,0.54093,0.26107,1.4737,2.04198,1.16216,0.00215,0,0.000999566,0.000999566,0.000999566
6,131.586,1.34834,1.8357,1.38034,0.00183,0.63684,0.57676,0.58685,0.56654,0.31116,0.59142,0.56808,0.5495,0.26308,1.50488,1.98933,1.11181,0.00227,0,0.000999322,0.000999322,0.000999322
7,152,1.42588,1.92146,1.39263,0.00187,0.63574,0.60035,0.56808,0.60801,0.31894,0.59043,0.55869,0.59595,0.26962,1.48393,1.96397,1.09708,0.00218,0,0.000999023,0.000999023,0.000999023
8,174.353,1.31573,1.80005,1.24638,0.00179,0.60815,0.569,0.61972,0.63472,0.32248,0.66409,0.5493,0.63413,0.2586,1.50178,2.00656,0.99537,0.00226,0,0.000998671,0.000998671,0.000998671
9,194.205,1.21448,1.69292,1.11509,0.00161,0.47449,0.62269,0.55869,0.62682,0.32938,0.54248,0.62441,0.61612,0.28934,1.42442,1.93589,1.11593,0.00209,0,0.000998264,0.000998264,0.000998264
10,219.027,1.3589,1.74177,1.24409,0.00176,0.50738,0.62697,0.62441,0.64328,0.32869,0.62054,0.61972,0.63604,0.29286,1.46394,1.83671,0.93908,0.00214,0,0.000997803,0.000997803,0.000997803
11,239.908,1.37833,1.78074,1.1724,0.00183,0.52495,0.64615,0.60012,0.64345,0.33976,0.62501,0.58685,0.62755,0.29765,1.41729,1.79743,0.98464,0.0021,0,0.000997288,0.000997288,0.000997288
12,261.347,1.35772,1.74383,1.09189,0.00176,0.49394,0.70568,0.5493,0.64983,0.33928,0.63123,0.60094,0.6327,0.31071,1.44566,1.77435,0.89225,0.00215,0,0.00099672,0.00099672,0.00099672
13,283.035,1.30521,1.68688,1.04495,0.00176,0.49524,0.67183,0.59589,0.65567,0.35732,0.59816,0.65258,0.63538,0.29009,1.47956,1.79083,0.8961,0.00215,0,0.000996097,0.000996097,0.000996097
14,311.1,1.24027,1.63562,0.95175,0.00164,0.44278,0.78662,0.57277,0.67722,0.36996,0.66545,0.6338,0.66625,0.31068,1.47223,1.83227,0.84896,0.00214,0,0.00099542,0.00099542,0.00099542
15,338.65,1.17444,1.46169,0.88491,0.00157,0.39426,0.72345,0.6338,0.69304,0.39045,0.72345,0.6338,0.69548,0.34998,1.46113,1.77125,0.82204,0.00216,0,0.00099469,0.00099469,0.00099469
16,364.235,1.37619,1.71659,1.01768,0.00177,0.49585,0.68888,0.64452,0.68991,0.38919,0.71993,0.61033,0.67272,0.3408,1.45502,1.72258,0.88964,0.00216,0,0.000993906,0.000993906,0.000993906
17,385.465,1.28388,1.66441,0.90765,0.00171,0.42117,0.70814,0.61511,0.67868,0.38045,0.75286,0.59624,0.66819,0.32776,1.44523,1.7522,0.91939,0.00217,0,0.000993068,0.000993068,0.000993068
18,405.845,1.26666,1.57826,0.96637,0.00165,0.457,0.77024,0.65258,0.717,0.39166,0.73428,0.64869,0.70606,0.32998,1.45162,1.73401,0.82549,0.00213,0,0.000992177,0.000992177,0.000992177
19,425.731,1.29897,1.56354,0.88473,0.00164,0.42531,0.7943,0.65258,0.7268,0.39206,0.76273,0.63386,0.71564,0.33742,1.44475,1.74805,0.78349,0.00209,0,0.000991232,0.000991232,0.000991232
20,448.595,1.28844,1.60545,0.82885,0.00166,0.37942,0.75919,0.65126,0.71891,0.38778,0.74429,0.6338,0.69683,0.32476,1.4491,1.72451,0.78479,0.00212,0,0.000990234,0.000990234,0.000990234
21,469.847,1.35648,1.77993,0.88589,0.00178,0.41328,0.70625,0.67606,0.70988,0.39465,0.69609,0.65258,0.69496,0.34137,1.44895,1.78245,0.77083,0.00215,0,0.000989183,0.000989183,0.000989183
22,490.16,1.2746,1.60864,0.79132,0.00168,0.4226,0.7049,0.70423,0.71669,0.40483,0.70909,0.66197,0.70707,0.35676,1.43656,1.89478,0.79347,0.00212,0,0.000988079,0.000988079,0.000988079
23,514.826,1.26515,1.59449,0.79402,0.00172,0.42587,0.73474,0.68075,0.72043,0.3901,0.76886,0.62466,0.67687,0.31707,1.50518,1.74492,0.7414,0.00223,0,0.000986922,0.000986922,0.000986922
24,536.896,1.30867,1.64416,0.7747,0.00168,0.41593,0.7243,0.70892,0.72992,0.41347,0.78345,0.62847,0.71417,0.34906,1.39605,1.74444,0.74657,0.00206,0,0.000985711,0.000985711,0.000985711
25,562.891,1.27937,1.60705,0.78175,0.0017,0.41521,0.76778,0.68075,0.7309,0.41321,0.75843,0.67136,0.72784,0.36273,1.43136,1.73644,0.74955,0.00213,0,0.000984449,0.000984449,0.000984449
26,585.503,1.26895,1.5893,0.80498,0.0016,0.45104,0.78665,0.65781,0.73603,0.41139,0.78146,0.65472,0.73312,0.36527,1.43951,1.74268,0.72483,0.00213,0,0.000983133,0.000983133,0.000983133
27,606.498,1.23755,1.56313,0.77694,0.00166,0.42689,0.74114,0.7277,0.74453,0.41741,0.73815,0.71362,0.73583,0.35897,1.45204,1.75419,0.73996,0.00216,0,0.000981765,0.000981765,0.000981765
28,627.725,1.35765,1.65234,0.80889,0.00178,0.40212,0.76055,0.74561,0.74742,0.41255,0.74877,0.68563,0.72593,0.3313,1.44225,1.70081,0.71939,0.00214,0,0.000980345,0.000980345,0.000980345
29,648.409,1.21262,1.53578,0.74415,0.00163,0.3878,0.79506,0.69953,0.75326,0.43337,0.77192,0.67606,0.72148,0.34544,1.3988,1.74946,0.73487,0.0021,0,0.000978873,0.000978873,0.000978873
30,669.199,1.21996,1.55127,0.76065,0.00163,0.36694,0.82027,0.70892,0.74932,0.43649,0.80085,0.68075,0.72023,0.35529,1.35899,1.80126,0.66454,0.00205,0,0.000977349,0.000977349,0.000977349
31,690.732,1.23429,1.55929,0.77063,0.00167,0.37225,0.83547,0.69953,0.75221,0.43405,0.81321,0.65406,0.72216,0.37302,1.37858,1.82353,0.75746,0.00205,0,0.000975773,0.000975773,0.000975773
32,711.623,1.30687,1.60039,0.71023,0.00168,0.40364,0.79877,0.70892,0.76707,0.43164,0.76087,0.69484,0.7343,0.38026,1.39194,1.71823,0.64042,0.00202,0,0.000974145,0.000974145,0.000974145
33,731.87,1.25235,1.56554,0.73744,0.0017,0.39499,0.74996,0.74178,0.76533,0.41582,0.86187,0.64446,0.75124,0.32894,1.46391,1.69199,0.64882,0.0021,0,0.000972466,0.000972466,0.000972466
34,753.971,1.30955,1.55359,0.72696,0.00174,0.38013,0.81208,0.67606,0.74187,0.4163,0.78393,0.6643,0.72841,0.342,1.44336,1.68533,0.66583,0.00212,0,0.000970736,0.000970736,0.000970736
35,777.322,1.19765,1.50798,0.67892,0.00167,0.39588,0.79123,0.70423,0.73303,0.42925,0.77713,0.69484,0.73719,0.39383,1.38596,1.65378,0.7443,0.00207,0,0.000968955,0.000968955,0.000968955
36,800.811,1.27182,1.50834,0.71863,0.00177,0.40102,0.79892,0.70881,0.73944,0.43651,0.76855,0.69953,0.73433,0.38786,1.38655,1.66703,0.69207,0.00204,0,0.000967122,0.000967122,0.000967122
37,823.493,1.24169,1.53499,0.67831,0.00162,0.35883,0.76683,0.73239,0.76628,0.43331,0.82251,0.66667,0.76131,0.36394,1.42403,1.71359,0.65263,0.00209,0,0.000965239,0.000965239,0.000965239
38,846.488,1.13515,1.38051,0.63871,0.00154,0.34401,0.81926,0.70226,0.76122,0.4454,0.80815,0.69218,0.7628,0.38347,1.34014,1.71042,0.71786,0.00198,0,0.000963306,0.000963306,0.000963306
39,868.276,1.31116,1.61017,0.68868,0.00166,0.38068,0.8236,0.71362,0.76114,0.44574,0.80681,0.69953,0.75141,0.397,1.35875,1.72605,0.74742,0.002,0,0.000961322,0.000961322,0.000961322
40,888.658,1.31065,1.55025,0.66823,0.00168,0.39766,0.82026,0.7499,0.82172,0.45428,0.77495,0.75117,0.80892,0.38829,1.35686,1.7331,0.64252,0.00195,0,0.000959289,0.000959289,0.000959289
41,909.568,1.24951,1.51526,0.62196,0.00163,0.36971,0.8307,0.73239,0.76999,0.44668,0.7963,0.71831,0.77526,0.38879,1.44199,1.7408,0.59656,0.00214,0,0.000957205,0.000957205,0.000957205
42,931.115,1.19674,1.57004,0.60211,0.0016,0.34703,0.83638,0.723,0.77091,0.4492,0.81782,0.69484,0.75121,0.38665,1.38716,1.72487,0.60006,0.00206,0,0.000955072,0.000955072,0.000955072
43,954.87,1.2634,1.5076,0.62223,0.00164,0.39456,0.84426,0.74178,0.79526,0.45969,0.82614,0.69157,0.76227,0.38309,1.34439,1.71309,0.57565,0.00191,0,0.000952889,0.000952889,0.000952889
44,975.985,1.23907,1.55235,0.63355,0.00158,0.3706,0.83884,0.723,0.77007,0.4491,0.8191,0.70152,0.75978,0.37624,1.33956,1.75413,0.60617,0.00194,0,0.000950658,0.000950658,0.000950658
45,995.768,1.31601,1.52006,0.68045,0.00161,0.42738,0.82754,0.7209,0.76461,0.43561,0.83238,0.69941,0.74532,0.36173,1.36361,1.68719,0.64114,0.00197,0,0.000948377,0.000948377,0.000948377
46,1018.76,1.09211,1.33008,0.5445,0.00144,0.33308,0.81403,0.73239,0.76778,0.45484,0.80359,0.723,0.75868,0.391,1.33592,1.67483,0.62749,0.00195,0,0.000946048,0.000946048,0.000946048
47,1043.38,1.22524,1.47388,0.62617,0.00161,0.34086,0.85068,0.70892,0.76765,0.44886,0.83378,0.69484,0.75306,0.37952,1.37492,1.67406,0.63012,0.002,0,0.000943671,0.000943671,0.000943671
48,1064.43,1.21324,1.47456,0.63426,0.00162,0.40111,0.86514,0.72284,0.79049,0.43975,0.82533,0.68545,0.76309,0.36402,1.45162,1.7213,0.61139,0.00208,0,0.000941245,0.000941245,0.000941245
49,1083.97,1.19557,1.40337,0.58583,0.00147,0.36255,0.82853,0.75117,0.78104,0.4585,0.80201,0.7277,0.7641,0.4066,1.41609,1.72221,0.59834,0.00208,0,0.000938772,0.000938772,0.000938772
50,1104.91,1.17695,1.4956,0.57711,0.00156,0.36184,0.83129,0.76341,0.79092,0.46262,0.77577,0.73239,0.76011,0.39424,1.39565,1.7137,0.58101,0.00203,0,0.000936251,0.000936251,0.000936251
51,1124.74,1.21149,1.44855,0.59335,0.0015,0.38982,0.88642,0.71362,0.78754,0.45895,0.87066,0.68545,0.75463,0.36957,1.37242,1.71431,0.60259,0.00201,0,0.000933683,0.000933683,0.000933683
52,1144.46,1.25728,1.51325,0.64638,0.00163,0.42389,0.85111,0.74178,0.78877,0.45616,0.82374,0.71831,0.786,0.37982,1.37018,1.74442,0.63797,0.00199,0,0.000931067,0.000931067,0.000931067
53,1166.06,1.2997,1.57066,0.60092,0.00165,0.39131,0.84829,0.76526,0.78898,0.45674,0.83013,0.7571,0.79836,0.38531,1.37005,1.66114,0.66709,0.00198,0,0.000928405,0.000928405,0.000928405
54,1186.68,1.21019,1.43737,0.59046,0.00157,0.32963,0.84106,0.74531,0.77499,0.46095,0.82434,0.73709,0.7718,0.41002,1.35885,1.65406,0.71395,0.00203,0,0.000925697,0.000925697,0.000925697
55,1206.83,1.22734,1.52431,0.59659,0.00168,0.37481,0.86675,0.75117,0.81174,0.47311,0.84234,0.7277,0.79654,0.37956,1.38531,1.67132,0.56873,0.00203,0,0.000922942,0.000922942,0.000922942
56,1226.72,1.21423,1.50736,0.62141,0.00159,0.34962,0.81971,0.74711,0.79283,0.47226,0.78472,0.74178,0.79018,0.40689,1.38558,1.68027,0.62531,0.00202,0,0.000920142,0.000920142,0.000920142
57,1249.01,1.16556,1.39882,0.54611,0.00149,0.36767,0.82907,0.7277,0.77915,0.46972,0.81646,0.70892,0.76559,0.39826,1.36854,1.70218,0.60926,0.00202,0,0.000917296,0.000917296,0.000917296
58,1271.57,1.24586,1.43708,0.56668,0.00167,0.35659,0.86443,0.71845,0.79058,0.46358,0.83619,0.69497,0.77613,0.37837,1.3913,1.69094,0.60175,0.00204,0,0.000914405,0.000914405,0.000914405
59,1292.41,1.26155,1.56359,0.6109,0.00157,0.38116,0.84551,0.76526,0.79571,0.47823,0.85367,0.7277,0.77986,0.4022,1.35214,1.65814,0.5795,0.00195,0,0.000911469,0.000911469,0.000911469
60,1312.99,1.23404,1.47028,0.57888,0.00164,0.36203,0.83813,0.75359,0.78659,0.46726,0.82793,0.72288,0.7768,0.40988,1.33763,1.64114,0.59191,0.002,0,0.000908488,0.000908488,0.000908488
61,1333.16,1.1367,1.35431,0.53209,0.00148,0.34222,0.84168,0.76526,0.80234,0.47107,0.80673,0.74178,0.78751,0.39653,1.33248,1.67412,0.58526,0.00193,0,0.000905463,0.000905463,0.000905463
62,1354.37,1.29704,1.62089,0.59597,0.0016,0.37699,0.84499,0.73709,0.79537,0.46337,0.83551,0.71541,0.78775,0.39559,1.35721,1.65803,0.59667,0.00197,0,0.000902395,0.000902395,0.000902395
63,1374.22,1.26961,1.5555,0.60814,0.00163,0.39914,0.82453,0.76056,0.7871,0.46699,0.83322,0.7277,0.77987,0.39297,1.34488,1.65006,0.59866,0.00196,0,0.000899282,0.000899282,0.000899282
64,1394.33,1.19119,1.46428,0.53952,0.00163,0.36918,0.83863,0.75639,0.78177,0.46941,0.82815,0.7466,0.77499,0.40895,1.33423,1.6072,0.56874,0.00194,0,0.000896127,0.000896127,0.000896127
65,1415.64,1.19782,1.42462,0.56463,0.00148,0.34899,0.86674,0.73289,0.78329,0.45479,0.85266,0.70423,0.77009,0.38933,1.38093,1.62642,0.57119,0.00203,0,0.000892928,0.000892928,0.000892928
66,1437.04,1.33588,1.59615,0.59618,0.00174,0.39689,0.8359,0.76995,0.78584,0.46854,0.83553,0.76324,0.78398,0.42253,1.35809,1.60817,0.55758,0.002,0,0.000889687,0.000889687,0.000889687
67,1456.93,1.17276,1.36794,0.52399,0.00159,0.32029,0.85762,0.73529,0.78685,0.46387,0.8653,0.72382,0.77385,0.41248,1.35144,1.62373,0.54039,0.00198,0,0.000886404,0.000886404,0.000886404
68,1479.09,1.20748,1.45742,0.5515,0.00156,0.35941,0.84869,0.74648,0.80605,0.46849,0.87088,0.72833,0.80063,0.38833,1.35168,1.6332,0.56312,0.00196,0,0.000883079,0.000883079,0.000883079
69,1503.45,1.26657,1.61851,0.57368,0.00158,0.38548,0.87036,0.7565,0.82494,0.47747,0.85902,0.74376,0.82707,0.41333,1.31588,1.67025,0.55493,0.0019,0,0.000879713,0.000879713,0.000879713
70,1525.32,1.31021,1.56568,0.61137,0.00173,0.44392,0.8659,0.76056,0.81203,0.4729,0.8552,0.75117,0.81667,0.41934,1.33533,1.65628,0.53147,0.00192,0,0.000876305,0.000876305,0.000876305
