epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,72.3872,1.86471,3.40762,6.2992,1.0815,0,0,0,0,0,0,0,0,2.11512,15.9859,4.56052,1.30028,0.09602,2e-05,2e-05
2,129.941,1.77085,2.35651,4.12578,1.03872,0,0,0,0,0,0,0,0,2.27923,7.62704,4.48829,1.33806,0.0910448,4.47772e-05,4.47772e-05
3,206.901,1.66355,2.25511,3.67,1.02642,0,0,0,0,0,0,0,0,2.23892,6.00903,4.46428,1.33755,0.0860693,6.9307e-05,6.9307e-05
4,257.444,1.66464,2.10567,2.91794,0.98314,0,0,0,0,0,0,0,0,2.06603,5.93422,4.38203,1.28214,0.0810936,9.35892e-05,9.35892e-05
5,308.425,1.5967,1.98641,2.25666,0.95752,0,0,0,0,0,0,0,0,1.98068,5.99363,4.34789,1.25563,0.0761176,0.000117624,0.000117624
6,358.906,1.65925,1.97681,1.94776,0.9697,0,0,0,0,0,0,0,0,1.92518,5.13499,4.31685,1.23269,0.0711414,0.000141411,0.000141411
7,411.051,1.50943,1.98825,1.48737,0.97192,0,0,0,0,0,0,0,0,1.74641,4.61763,4.23462,1.16191,0.066165,0.000164951,0.000164951
8,461.492,1.61412,2.03438,1.46655,1.03781,1,0.02857,0.51428,0.31092,1,0.02857,0.51428,0.2065,1.66109,4.39233,4.14294,1.12968,0.0611882,0.000188243,0.000188243
9,511.275,1.55523,2.06754,1.51412,0.98376,1,0.2,0.6,0.33711,1,0.2,0.6,0.30263,1.67145,4.30541,4.04141,1.13546,0.0562113,0.000211288,0.000211288
10,562.359,1.48002,1.9751,1.24638,0.98826,0.94737,0.51429,0.73786,0.43201,0.94737,0.51429,0.73786,0.37674,1.71478,4.30934,3.84897,1.17281,0.0512341,0.000234085,0.000234085
11,612.165,1.63164,2.00337,1.40092,1.01783,0.85106,0.57143,0.74843,0.44129,0.87234,0.58571,0.75952,0.40082,1.6429,4.11721,3.6921,1.14358,0.0462566,0.000256635,0.000256635
12,666.7,1.59354,1.82071,1.20087,1.02345,0.78571,0.78571,0.83746,0.47912,0.75714,0.75714,0.81842,0.41149,1.58502,3.94404,3.47974,1.12456,0.0412789,0.000278937,0.000278937
13,740.293,1.6224,2.01927,1.32085,1.02762,0.68478,0.9,0.88284,0.49171,0.66304,0.87143,0.86387,0.41921,1.56208,3.72434,3.23028,1.11218,0.036301,0.000300992,0.000300992
14,830.386,1.35581,1.75384,0.97887,0.97528,0.68478,0.9,0.88284,0.49171,0.66304,0.87143,0.86387,0.41921,1.56208,3.72434,3.23028,1.11218,0.0313228,0.000322799,0.000322799
15,891.848,1.45456,1.82076,1.01699,0.95511,0.525,0.9,0.87378,0.47323,0.50833,0.87143,0.84898,0.42125,1.64247,3.59085,2.8625,1.13037,0.0263444,0.000344359,0.000344359
16,953.963,1.46072,1.92104,1.09945,0.98639,0.40252,0.91429,0.88799,0.47934,0.38365,0.87143,0.85381,0.4185,1.66388,3.30286,2.46338,1.14208,0.0213657,0.000365671,0.000365671
17,1036.65,1.47412,1.85172,1.13355,0.98766,0.97823,0.64192,0.90684,0.48038,0.97751,0.62102,0.90088,0.43548,1.64813,2.89338,2.04218,1.13738,0.0163867,0.000386736,0.000386736
18,1106.16,1.45857,1.89884,1.09249,0.98189,0.97823,0.64192,0.90684,0.48038,0.97751,0.62102,0.90088,0.43548,1.64813,2.89338,2.04218,1.13738,0.0114076,0.000407553,0.000407553
19,1167.8,1.37035,1.75949,0.9602,0.94906,1,0.61999,0.91573,0.48936,1,0.61999,0.9142,0.43714,1.62063,2.66834,1.82269,1.13545,0.00642812,0.000428123,0.000428123
20,1250.12,1.3745,1.64188,0.95711,0.94686,0.98,0.70005,0.9128,0.48232,0.98006,0.70218,0.91406,0.45623,1.63459,2.55734,1.72446,1.13929,0.00144845,0.000448445,0.000448445
21,1329.84,1.40881,1.66461,0.99481,0.95955,0.98,0.70005,0.9128,0.48232,0.98006,0.70218,0.91406,0.45623,1.63459,2.55734,1.72446,1.13929,0.0004505,0.0004505,0.0004505
22,1390.65,1.49897,1.63152,1.03209,0.94897,0.93127,0.74286,0.90917,0.45338,0.94488,0.73479,0.90024,0.4576,1.69359,2.53268,1.64957,1.15348,0.000448025,0.000448025,0.000448025
