epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.8601,1.74171,3.55773,3.87004,1.16216,0.00889,0.25397,0.00558,0.00345,0.00556,0.15873,0.00326,0.00098,1.56818,7.9262,3.82794,1.22191,0.099005,5e-06,5e-06
2,53.7645,1.60806,2.80725,3.46554,1.05447,0,0,0,0,0,0,0,0,1.51381,3.15528,3.77077,1.20143,0.0970149,1.49257e-05,1.49257e-05
3,75.5221,1.51285,2.35641,3.1674,0.99896,0.03,0.71429,0.53942,0.24504,0.02733,0.65079,0.52868,0.17709,1.49635,3.83738,3.78183,1.17228,0.0950248,2.47525e-05,2.47525e-05
4,95.9414,1.36086,2.28115,2.91395,1.02733,0.02417,0.46032,0.32429,0.14362,0.02333,0.44444,0.34456,0.10864,1.50787,4.31023,3.85958,1.17365,0.0930345,3.44802e-05,3.44802e-05
5,115.799,1.33846,2.14549,2.77431,1.05301,0.02333,0.44444,0.33451,0.15179,0.02333,0.44444,0.3507,0.1293,1.49283,4.63867,3.81347,1.16616,0.0910441,4.4109e-05,4.4109e-05
6,140.673,1.45091,2.26336,2.41508,1.02329,0.02083,0.39683,0.25862,0.12071,0.01917,0.36508,0.24831,0.0871,1.4758,5.18021,3.75378,1.14617,0.0890536,5.36388e-05,5.36388e-05
7,162.815,1.45755,2.1197,2.17254,0.98367,0.02083,0.39683,0.29667,0.1279,0.01,0.19048,0.14739,0.03785,1.45838,6.79912,3.68355,1.12127,0.0870631,6.30695e-05,6.30695e-05
8,182.853,1.45988,2.10208,2.24234,0.9968,0.02,0.38095,0.30685,0.15951,0,0,0,0,1.41025,9.69271,3.61527,1.09381,0.0850724,7.24012e-05,7.24012e-05
9,202.816,1.43161,2.05913,2.06734,0.97771,0.02167,0.4127,0.31405,0.16992,0,0,0,0,1.39507,12.9664,3.53458,1.08614,0.0830816,8.1634e-05,8.1634e-05
10,223.063,1.38885,1.99007,1.81114,0.95478,0.02167,0.4127,0.33527,0.17103,0,0,0,0,1.39005,12.5891,3.4818,1.08723,0.0810908,9.07677e-05,9.07677e-05
11,249.489,1.4504,2.06539,1.61233,0.992,0.02,0.38095,0.34155,0.16764,0.00167,0.03175,0.0163,0.00242,1.40174,10.6773,3.44506,1.0956,0.0790998,9.98025e-05,9.98025e-05
12,273.875,1.32847,1.88856,1.54079,0.94121,0.02,0.38095,0.34155,0.16764,0.00167,0.03175,0.0163,0.00242,1.40174,10.6773,3.44506,1.0956,0.0771087,0.000108738,0.000108738
13,295.63,1.39716,2.07899,1.38021,0.96798,0.02,0.38095,0.34825,0.17806,0.01,0.19048,0.15135,0.06053,1.40653,7.31649,3.40169,1.09726,0.0751176,0.000117575,0.000117575
14,318.624,1.39572,2.10841,1.26594,0.96909,0.01917,0.36508,0.34172,0.19013,0.01917,0.36508,0.3191,0.1157,1.42831,5.79502,3.38698,1.10443,0.0731263,0.000126313,0.000126313
15,340.378,1.22209,1.8426,1.1568,0.95955,0.01917,0.36508,0.34172,0.19013,0.01917,0.36508,0.3191,0.1157,1.42831,5.79502,3.38698,1.10443,0.071135,0.000134952,0.000134952
16,368.06,1.30524,1.97518,1.19793,0.98832,0.02333,0.66667,0.63714,0.35042,0.02167,0.61905,0.59003,0.21632,1.46852,6.04837,3.3821,1.11522,0.0691435,0.000143491,0.000143491
17,386.82,1.28785,1.8345,1.32166,0.97791,0.02389,0.68254,0.62049,0.35542,0.02389,0.68254,0.61819,0.23338,1.4785,6.2966,3.39044,1.11498,0.0671519,0.000151932,0.000151932
